127.0.0.1 - - [08/Apr/2023:11:02:27 +0530] "GET / HTTP/1.1" 200 235990
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:02:28 +0530] "GET / HTTP/1.1" 200 235990
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:02:28 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:02:28 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:02:28 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:02:28 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:02:28 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:02:29 +0530] "GET /assets/img/favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:26:56 +0530] "GET /login HTTP/1.1" 200 19264
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:26:57 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:26:57 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:26:57 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:26:57 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:26:57 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:04 +0530] "POST /checklogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:04 +0530] "GET / HTTP/1.1" 200 236255
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:04 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:04 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:04 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:04 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:04 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:09 +0530] "GET /addToCartFromProducts?subproductId=18 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:09 +0530] "GET /cart HTTP/1.1" 200 61604
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:09 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:09 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:09 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:09 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:09 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:11 +0530] "GET /proceedToCheckout?cartId= HTTP/1.1" 200 38033
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:11 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:11 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:11 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:11 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:11 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:35 +0530] "GET /orderplaced?billingAddress=&shippingAddress=&payment=on&totalAmount=2300 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:35 +0530] "GET /?orderplaced HTTP/1.1" 200 236353
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:35 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:35 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:35 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:35 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Apr/2023:11:27:35 +0530] "GET /js/main.js HTTP/1.1" 404 682
